iter	Passed	Remaining
0	2	1089
1	4	1044
2	7	1057
3	10	1095
4	12	1082
5	16	1156
6	18	1147
7	21	1153
8	24	1132
9	26	1116
10	29	1125
11	33	1175
12	35	1153
13	37	1118
14	40	1126
15	43	1134
16	45	1106
17	48	1117
18	52	1134
19	57	1170
20	66	1295
21	70	1303
22	80	1424
23	84	1432
24	87	1421
25	90	1407
26	93	1395
27	96	1384
28	98	1366
29	102	1369
30	109	1411
31	116	1449
32	121	1460
33	125	1455
34	128	1448
35	131	1441
36	135	1440
37	138	1425
38	140	1412
39	143	1396
40	145	1381
41	148	1373
42	152	1373
43	156	1369
44	159	1361
45	161	1349
46	164	1336
47	167	1330
48	168	1313
49	171	1300
50	173	1289
51	175	1278
52	178	1268
53	180	1258
54	182	1244
55	185	1235
56	187	1228
57	190	1218
58	192	1208
59	193	1192
60	195	1184
61	196	1168
62	197	1153
63	200	1144
64	202	1136
65	203	1121
66	205	1114
67	208	1109
68	210	1101
69	212	1094
70	215	1087
71	217	1082
72	220	1075
73	222	1068
74	224	1062
75	227	1057
76	229	1052
77	231	1046
78	232	1034
79	235	1029
80	237	1022
81	239	1016
82	241	1009
83	243	1003
84	244	991
85	246	985
86	248	981
87	250	975
88	253	970
89	255	964
90	257	959
91	259	954
92	261	948
93	263	942
94	265	935
95	267	931
96	269	924
97	271	921
98	273	915
99	275	910
100	277	905
101	279	900
102	281	895
103	283	889
104	285	882
105	287	877
106	287	869
107	289	863
108	291	859
109	293	854
110	295	850
111	297	843
112	299	840
113	301	835
114	303	831
115	305	827
116	308	824
117	309	819
118	311	814
119	313	808
120	315	805
121	316	798
122	318	795
123	320	791
124	322	787
125	324	783
126	326	779
127	327	773
128	329	769
129	331	765
130	333	760
131	335	756
132	337	753
133	338	747
134	340	743
135	341	739
136	343	735
137	345	730
138	347	727
139	349	723
140	351	719
141	351	713
142	353	710
143	355	705
144	357	702
145	358	698
146	360	693
147	361	689
148	363	685
149	365	681
150	365	675
151	367	671
152	369	668
153	371	665
154	372	661
155	374	657
156	376	654
157	378	651
158	379	647
159	381	644
160	383	641
161	385	637
162	387	634
163	388	630
164	390	626
165	392	623
166	393	619
167	395	616
168	397	613
169	398	609
170	400	606
171	402	603
172	404	600
173	405	596
174	407	593
175	408	590
176	409	585
177	411	582
178	413	579
179	414	576
180	416	573
181	418	569
182	419	566
183	421	563
184	423	560
185	424	557
186	426	553
187	427	550
188	430	548
189	431	545
190	433	542
191	435	539
192	436	536
193	438	533
194	439	530
195	441	526
196	443	524
197	444	521
198	446	518
199	448	515
200	450	512
201	451	509
202	453	506
203	454	503
204	456	501
205	458	498
206	459	495
207	461	492
208	463	490
209	464	486
210	465	483
211	467	480
212	469	477
213	470	475
214	472	472
215	473	469
216	475	466
217	477	464
218	478	461
219	480	458
220	481	455
221	483	453
222	485	450
223	486	447
224	488	445
225	490	442
226	491	439
227	493	437
228	495	434
229	497	432
230	498	429
231	500	427
232	502	424
233	504	422
234	505	419
235	507	417
236	509	414
237	511	412
238	512	409
239	514	407
240	516	405
241	518	402
242	520	400
243	522	398
244	524	395
245	526	393
246	528	391
247	530	389
248	531	386
249	533	384
250	535	382
251	537	379
252	539	377
253	541	374
254	542	372
255	544	370
256	546	367
257	548	365
258	549	363
259	551	360
260	553	358
261	554	355
262	556	353
263	558	351
264	560	348
265	561	346
266	563	344
267	565	341
268	568	340
269	569	337
270	571	335
271	572	332
272	574	330
273	576	328
274	578	325
275	579	323
276	581	321
277	582	318
278	584	316
279	586	313
280	587	311
281	589	309
282	591	307
283	592	304
284	594	302
285	596	300
286	598	298
287	599	295
288	601	293
289	603	291
290	605	289
291	606	286
292	608	284
293	610	282
294	611	279
295	613	277
296	615	275
297	616	273
298	618	270
299	619	268
300	621	266
301	622	264
302	624	261
303	626	259
304	628	257
305	630	255
306	632	253
307	635	251
308	637	249
309	638	247
310	640	245
311	642	242
312	644	240
313	647	239
314	649	236
315	651	234
316	652	232
317	654	230
318	656	228
319	658	226
320	660	224
321	662	222
322	664	220
323	666	217
324	668	215
325	670	213
326	672	211
327	673	209
328	675	207
329	677	205
330	679	203
331	681	201
332	683	199
333	685	197
334	687	195
335	689	192
336	691	190
337	693	188
338	694	186
339	697	184
340	698	182
341	700	180
342	702	178
343	703	175
344	705	173
345	707	171
346	709	169
347	710	167
348	712	165
349	714	163
350	716	161
351	718	159
352	719	157
353	721	154
354	723	152
355	724	150
356	726	148
357	728	146
358	729	144
359	731	142
360	732	140
361	734	137
362	736	135
363	737	133
364	739	131
365	741	129
366	743	127
367	745	125
368	747	123
369	749	121
370	751	119
371	753	117
372	755	115
373	757	113
374	759	111
375	761	109
376	763	107
377	765	105
378	767	103
379	769	101
380	771	99
381	772	97
382	774	95
383	776	93
384	778	90
385	780	88
386	782	86
387	783	84
388	786	82
389	788	80
390	790	78
391	792	76
392	793	74
393	795	72
394	797	70
395	799	68
396	801	66
397	803	64
398	804	62
399	806	60
400	808	58
401	809	56
402	810	54
403	812	52
404	814	50
405	816	48
406	817	46
407	819	44
408	820	42
409	822	40
410	824	38
411	825	36
412	827	34
413	829	32
414	831	30
415	833	28
416	835	26
417	837	24
418	839	22
419	841	20
420	843	18
421	844	16
422	846	14
423	848	12
424	850	10
425	852	8
426	854	6
427	856	4
428	858	2
429	860	0
